
Download Data - raw
Regional - CRCM4.2.3 (Run 1) - SR-A2
Air Temperature - Mean (2m) (degC)
Area: 46.48N 59.85W to 51.69N 51.41W
Baseline Years: 1971 - 2000

lat, lon, year, january, february, march, april, may, june, july, august, september, october, november, december, winter, spring, summer, autumn, annual
47, -60, 2000, 0.322716, -0.0792652, 0.742996, 2.81161, 6.76958, 8.48415, 10.3571, 11.7546, 11.7229, 9.39935, 7.31167, 4.5626, 1.60202, 3.44139, 10.1986, 9.47797, 6.18001
47.5, -60, 1971, -0.636043, -2.9155, -2.119, 0.909031, 4.1786, 6.43409, 9.3292, 11.06, 10.8526, 9.23821, 5.44783, 2.91128, -0.213421, 0.989546, 8.94111, 8.51288, 4.55753
47.5, -60, 1972, -0.11384, -1.67615, -1.35047, 0.12026, 2.66656, 6.66259, 9.02105, 10.5261, 10.5116, 9.04717, 6.16453, 1.966, 0.0586681, 0.478782, 8.73657, 8.57442, 4.46211
47.5, -60, 1973, 0.161602, -2.82276, -2.25362, -0.294784, 2.32571, 5.55813, 8.43589, 10.4366, 10.4696, 8.22957, 5.9933, 0.901567, -0.586532, -0.0742324, 8.14355, 8.23081, 3.9284
47.5, -60, 1974, -2.33656, -1.99266, -2.50498, -0.654234, 1.96089, 5.62399, 9.13757, 10.5068, 10.5839, 8.51585, 5.83709, 3.7487, -0.193506, -0.399441, 8.42278, 8.31228, 4.03553
47.5, -60, 1975, -0.264958, -2.35906, -1.28209, 0.828278, 3.19977, 6.16564, 9.12434, 10.4572, 11.2782, 9.73886, 6.9908, 4.92001, 0.765331, 0.915321, 8.58238, 9.33594, 4.89974
47.5, -60, 1976, 0.368731, -1.82252, -2.0284, 0.0620629, 2.67965, 6.13603, 9.10062, 10.9198, 10.8271, 8.50113, 5.3605, 2.83775, 0.461321, 0.23777, 8.71882, 8.22958, 4.41187
47.5, -60, 1977, -1.3202, -3.22951, -3.31498, -1.43459, 2.95428, 5.15603, 8.31576, 10.4229, 11.1873, 9.2574, 7.37022, 3.15838, -0.463775, -0.59843, 7.9649, 9.27163, 4.04358
47.5, -60, 1978, -0.859425, -0.625229, -0.0874735, 0.0524929, 2.91082, 6.64039, 9.67757, 10.7649, 10.6314, 8.64674, 6.80669, 3.73294, 0.749429, 0.958614, 9.02763, 8.69493, 4.85765
47.5, -60, 1979, 0.0402977, -0.533443, -0.650444, 0.889292, 3.54437, 6.1151, 10.2032, 10.3803, 10.5465, 10.0479, 5.99995, 3.28107, 0.929309, 1.26107, 8.89955, 8.8648, 4.98868
47.5, -60, 1980, -0.660317, -4.07209, -2.19243, 0.232023, 4.55824, 7.65691, 10.3961, 11.6056, 11.2114, 9.2023, 6.4458, 3.4194, -0.437668, 0.865943, 9.88619, 8.95318, 4.81691
47.5, -60, 1981, 1.34045, -1.45029, -0.321483, 1.29458, 4.20263, 5.51053, 8.81549, 10.2998, 11.8127, 9.73362, 5.70798, 2.79064, 0.8936, 1.72524, 8.20859, 9.08476, 4.97805
47.5, -60, 1982, 0.100301, -1.24596, -0.34964, 1.33028, 4.556, 7.06794, 8.98721, 10.7915, 11.241, 10.1391, 7.70558, 4.60831, 1.15422, 1.84555, 8.94888, 9.69521, 5.41096
47.5, -60, 1983, -0.190553, -2.3219, -0.697475, 0.612002, 3.66079, 6.05479, 9.74793, 11.0635, 11.2118, 10.3822, 7.98068, 5.31469, 0.934081, 1.19177, 8.95539, 9.85824, 5.23487
47.5, -60, 1984, 2.41215, -2.03843, -0.0979463, 0.994491, 4.60118, 7.37423, 8.51481, 10.3329, 11.0156, 8.42447, 6.21981, 1.85836, 0.744027, 1.83257, 8.74065, 8.55329, 4.96763
47.5, -60, 1985, -0.927994, -1.23433, 0.0325263, 0.723902, 3.19227, 6.62883, 9.81219, 10.1512, 10.0447, 9.48142, 7.07069, 3.64262, 0.493431, 1.31623, 8.86406, 8.86559, 4.88483
47.5, -60, 1986, 0.921974, -1.22575, -2.14578, 1.76523, 4.67281, 7.49763, 9.8793, 11.4733, 12.2215, 10.4211, 7.62131, 4.83917, 1.5118, 1.43076, 9.61673, 10.0879, 5.66181
47.5, -60, 1987, -0.182572, -1.27083, -0.369953, 1.28152, 4.24455, 6.59156, 8.91241, 10.9497, 11.6221, 9.08807, 6.13506, 3.21569, 0.587429, 1.7187, 8.81788, 8.9484, 5.0181
47.5, -60, 1988, -0.391739, -1.14144, -0.746225, 1.13888, 3.67675, 6.28128, 9.68752, 11.265, 11.728, 10.5929, 7.34574, 3.26919, 0.578671, 1.35647, 9.07794, 9.88889, 5.22549
