
Download Data - raw
Regional - CRCM4.2.3 (Run 1) - SR-A2
Air Temperature - Mean Min (2m) (degC)
Area: 46.48N 59.85W to 51.69N 51.41W
Baseline Years: 1971 - 2000

lat, lon, year, january, february, march, april, may, june, july, august, september, october, november, december, winter, spring, summer, autumn, annual
47.5, -60, 1973, -0.783402, -4.25526, -3.31973, -1.04826, 1.69727, 4.45723, 7.47165, 9.43305, 9.34864, 7.43594, 4.46235, -0.518748, -1.85247, -0.89024, 7.12064, 7.08231, 2.86506
47.5, -60, 1974, -3.54376, -3.49938, -3.77874, -1.5939, 1.24171, 4.31134, 8.13289, 9.46597, 9.67703, 7.58955, 5.03344, 2.64358, -1.46652, -1.37698, 7.3034, 7.43334, 2.97331
47.5, -60, 1975, -1.66831, -4.33239, -2.9838, -0.49227, 2.35652, 5.28423, 8.11386, 9.50637, 9.95859, 8.44432, 6.16328, 3.81052, -0.73006, -0.373183, 7.63482, 8.18873, 3.68008
47.5, -60, 1976, -0.655612, -2.87862, -3.16283, -1.07901, 1.56805, 5.28453, 8.01618, 9.94272, 9.83408, 7.48976, 4.3084, 1.74495, -0.596427, -0.891263, 7.74781, 7.21075, 3.36772
47.5, -60, 1977, -2.89864, -4.64692, -4.80167, -2.50019, 1.84255, 4.29982, 7.34342, 9.01329, 9.83737, 8.21752, 5.98445, 1.95209, -1.86449, -1.81977, 6.88551, 8.01311, 2.80359
47.5, -60, 1978, -2.12284, -1.82257, -0.84022, -0.629479, 1.99835, 5.25854, 8.47796, 9.65604, 9.68799, 7.51312, 5.69717, 2.27921, -0.555399, 0.176218, 7.79751, 7.63276, 3.76277
47.5, -60, 1979, -1.36053, -2.51867, -1.70025, -0.16452, 2.58173, 5.447, 8.67306, 9.57583, 9.43183, 8.95016, 4.95494, 1.61889, -0.753436, 0.238985, 7.89863, 7.77898, 3.79079
47.5, -60, 1980, -2.09604, -5.25107, -3.51436, -0.900267, 2.92809, 6.29032, 9.45848, 10.6102, 10.0171, 8.21708, 5.08213, 2.42367, -1.64114, -0.495512, 8.78632, 7.77209, 3.60544
47.5, -60, 1981, -0.0108724, -2.75728, -1.60197, 0.550423, 2.97905, 4.96317, 7.91615, 9.43063, 10.49, 8.5857, 4.51936, 1.71092, -0.352412, 0.642499, 7.43665, 7.86501, 3.89794
47.5, -60, 1982, -1.05695, -2.4728, -1.44798, 0.64197, 3.518, 5.92693, 8.10269, 9.63689, 10.1792, 9.23573, 6.63713, 3.64931, 0.0398523, 0.903995, 7.88884, 8.68404, 4.37918
47.5, -60, 1983, -1.70978, -4.30017, -1.55308, -0.0772666, 2.20597, 5.12895, 8.63558, 10.2281, 10.0587, 9.28673, 6.86398, 3.96814, -0.680604, 0.191875, 7.99754, 8.73647, 4.06132
47.5, -60, 1984, 1.24752, -3.32223, -1.27092, -0.0311703, 3.42211, 6.39009, 7.91728, 9.6123, 10.0523, 7.48108, 4.91165, 0.908576, -0.388711, 0.706674, 7.97322, 7.48168, 3.94322
47.5, -60, 1985, -2.45311, -2.15018, -0.703155, -1.1203, 2.42067, 5.55129, 8.71686, 9.46911, 9.38365, 8.40253, 5.7825, 2.88097, -0.574105, 0.199073, 7.91242, 7.85623, 3.8484
47.5, -60, 1986, -0.885707, -2.51213, -3.43777, 0.711784, 3.38756, 6.298, 8.96506, 10.5505, 10.9834, 9.51286, 6.76074, 4.03773, 0.2133, 0.220526, 8.60452, 9.08568, 4.53101
47.5, -60, 1987, -1.38168, -2.69128, -2.11245, 0.336265, 3.21488, 5.64285, 7.9999, 9.83271, 10.3247, 8.06639, 5.26574, 2.3817, -0.563754, 0.479565, 7.82515, 7.88562, 3.90665
47.5, -60, 1988, -2.11573, -2.54312, -1.67881, 0.151733, 2.65419, 4.95385, 8.54854, 10.1677, 10.4802, 9.72614, 6.20444, 1.35258, -1.10209, 0.375705, 7.89002, 8.80361, 3.99181
47.5, -60, 1989, -1.53758, -1.63417, -1.72713, 0.270963, 3.21578, 6.17523, 8.95054, 10.0845, 10.9404, 9.26124, 5.2117, 2.27939, -0.297454, 0.586539, 8.40341, 8.47111, 4.2909
47.5, -60, 1990, -3.10768, -4.51171, -4.04531, -1.63914, 1.81393, 5.03626, 8.24198, 9.52926, 10.271, 8.261, 5.84579, 1.38745, -2.07731, -1.29017, 7.6025, 8.12592, 3.09023
47.5, -60, 1991, -4.51565, -4.40079, -2.29892, -0.216371, 2.68079, 4.98542, 7.64178, 10.0851, 9.29275, 9.23069, 5.86811, 1.23329, -2.56105, 0.0551653, 7.57078, 8.13052, 3.29885
47.5, -60, 1992, -3.20849, -5.34851, -3.52827, -1.31602, 1.64594, 4.37854, 7.77226, 9.29019, 9.52307, 7.69761, 5.75088, 2.26038, -2.09887, -1.06612, 7.147, 7.65718, 2.9098
47.5, -60, 1993, -1.56556, -4.1019, -1.52328, -0.601835, 1.34415, 4.96261, 7.67191, 9.67697, 9.47848, 7.91313, 6.00355, 1.73291, -1.31152, -0.260322, 7.43716, 7.79839, 3.41593
47.5, -60, 1994, -2.13973, -2.15916, -0.696915, 0.0556812, 3.3052, 5.96554, 9.49357, 10.0445, 10.0253, 8.28314, 5.49349, 2.31861, -0.660093, 0.887989, 8.50121, 7.93397, 4.16577
47.5, -60, 1995, -1.93821, -3.73142, -1.59809, 0.110913, 2.86372, 6.19735, 9.29429, 10.7356, 10.5458, 9.19689, 5.91994, 3.76631, -0.634438, 0.458849, 8.74243, 8.55423, 4.28027
47.5, -60, 1996, -0.697672, -2.89755, -1.69665, 0.17346, 2.9962, 5.90257, 8.57976, 10.5369, 10.5589, 9.64624, 6.55917, 3.08593, -0.169765, 0.491003, 8.33973, 8.92145, 4.39561
47.5, -60, 1997, 0.236746, -2.15748, -2.5905, 0.566645, 2.83745, 6.73851, 9.70442, 10.6599, 10.6905, 9.33121, 6.71135, 3.91933, 0.666197, 0.271199, 9.03428, 8.91102, 4.72067
47.5, -60, 1998, -0.812523, -3.5662, -2.81519, -0.745588, 3.16236, 5.54648, 8.19938, 9.94006, 10.0652, 8.75977, 6.05741, 3.69152, -0.229068, -0.132807, 7.89531, 8.29413, 3.95689
47.5, -60, 1999, -1.94753, -3.9103, -2.68274, 0.23917, 3.15471, 6.19344, 9.16633, 10.6756, 11.2436, 8.87528, 5.87305, 2.33054, -1.17576, 0.237048, 8.67847, 8.66397, 4.10093
47.5, -60, 2000, -0.731298, -1.58779, -0.564428, 1.4788, 4.22565, 6.84156, 8.88217, 10.447, 10.1346, 8.40672, 5.94602, 2.23782, -0.0270886, 1.71334, 8.72358, 8.16245, 4.64307
48, -60, 1971, -2.6027, -6.59897, -6.50143, -1.22873, 2.42718, 4.89662, 7.92665, 9.65761, 9.42712, 7.60512, 3.90455, 0.914944, -2.76224, -1.76766, 7.49363, 6.97893, 2.48566
48, -60, 1972, -2.00555, -4.15241, -4.51491, -2.68673, 1.11603, 4.87188, 7.60593, 8.98417, 8.91943, 7.62745, 4.58757, 0.611138, -1.84894, -2.02854, 7.154, 7.04482, 2.58033
48, -60, 1973, -1.29156, -4.81025, -5.34633, -2.26867, 1.46658, 4.00547, 7.11817, 9.04438, 8.95467, 7.04393, 4.05263, -1.06613, -2.38931, -2.04947, 6.72267, 6.68374, 2.24191
48, -60, 1974, -4.03069, -5.73381, -6.03657, -1.93093, 0.9803, 4.00232, 7.52441, 8.96944, 9.29579, 7.23202, 4.69001, 2.19883, -2.52189, -2.32907, 6.83206, 7.0726, 2.26343
48, -60, 1975, -2.21643, -4.97787, -5.13217, -1.44833, 1.97929, 4.97479, 7.46677, 9.16538, 9.54441, 7.9956, 5.77769, 3.30781, -1.2955, -1.53373, 7.20231, 7.77257, 3.03641
48, -60, 1976, -1.11781, -3.3054, -3.52308, -1.49495, 1.16196, 4.89541, 7.41059, 9.40086, 9.38908, 6.98912, 3.78977, 1.46985, -0.984455, -1.28536, 7.23562, 6.72266, 2.92212
48, -60, 1977, -3.51112, -5.86137, -7.48563, -3.49421, 1.29805, 3.97556, 6.87085, 8.60892, 9.47234, 7.81639, 5.54075, 1.3854, -2.66236, -3.22726, 6.48511, 7.60983, 2.05133
48, -60, 1978, -2.84304, -2.40335, -1.18053, -1.00428, 1.79096, 4.87151, 8.02758, 9.34278, 9.41049, 7.11391, 5.27137, 1.82811, -1.13943, -0.131279, 7.41396, 7.26526, 3.35213
48, -60, 1979, -1.84962, -3.06336, -2.2914, -0.711928, 2.17874, 5.06064, 8.052, 9.17107, 9.01366, 8.48363, 4.49469, 1.09671, -1.27209, -0.274862, 7.4279, 7.33066, 3.3029
48, -60, 1980, -2.75217, -7.1822, -5.34569, -1.2456, 2.36105, 5.76949, 8.85501, 10.2007, 9.6002, 7.86753, 4.70566, 1.9866, -2.64926, -1.41008, 8.27506, 7.39113, 2.90171
48, -60, 1981, -0.44625, -3.24543, -2.06109, 0.199412, 2.50435, 4.52944, 7.45062, 8.98933, 9.94503, 8.10129, 3.99571, 1.32875, -0.787644, 0.214225, 6.9898, 7.34734, 3.44093
48, -60, 1982, -1.41927, -2.78658, -1.91109, 0.297435, 3.13054, 5.44981, 7.70758, 9.22783, 9.74927, 8.82795, 6.10745, 3.21545, -0.330133, 0.505629, 7.46174, 8.22822, 3.96637
